time_bucket,p95_latency_ms,p99_latency_ms,call_count,HTTP_MCR,HTTP_RT,providerRPC_MCR,providerRPC_RT,cpu_utilization,memory_utilization,active_instances,p95_latency_ms_delta1,p99_latency_ms_delta1,HTTP_MCR_delta1,HTTP_RT_delta1,providerRPC_MCR_delta1,providerRPC_RT_delta1,cpu_utilization_delta1,memory_utilization_delta1,p95_latency_ms_delta2,p99_latency_ms_delta2,HTTP_MCR_delta2,HTTP_RT_delta2,providerRPC_MCR_delta2,providerRPC_RT_delta2,cpu_utilization_delta2,memory_utilization_delta2,p95_latency_ms_delta4,p99_latency_ms_delta4,HTTP_MCR_delta4,HTTP_RT_delta4,providerRPC_MCR_delta4,providerRPC_RT_delta4,cpu_utilization_delta4,memory_utilization_delta4,violation_now,label_next_violation
22,447.0,520.1900000000023,37982.0,141.8350539369665,141.8350539369665,20.745642701525053,184.330657259022,0.33043606946901916,0.7342920708500482,306.0,-2.0,-1.8099999999976717,0.2896656113810536,0.2896656113810536,0.08946078431372584,1.0692926433957268,0.00022354110010341932,3.291033451857661e-05,-2.0,-3.540000000000873,0.708496674146943,0.708496674146943,0.08186274509803937,0.7598270200388697,0.0017656241036919096,3.518505034105779e-05,-7.0,-3.8099999999976717,1.7904015110111402,1.7904015110111402,0.3620098039215698,2.448841952963704,0.007334720084923418,0.00017217054865725778,0,0
23,450.0,516.0,38468.0,142.24341676302654,142.24341676302654,20.798583877995643,184.32103144890843,0.3321950973435952,0.7342431915351768,306.0,3.0,-4.190000000002328,0.40836282606005625,0.40836282606005625,0.052941176470589824,-0.009625810113561784,0.0017590278745760468,-4.88793148714084e-05,1.0,-6.0,0.6980284374411099,0.6980284374411099,0.14240196078431566,1.059666833282165,0.001982568974679466,-1.5968980352831785e-05,-2.0,-3.720000000001164,2.069206845792081,2.069206845792081,0.38327886710239767,0.928987740314227,0.006142357140948185,-6.953485650951219e-05,0,0
24,448.0,515.0,38929.0,142.91555133018596,142.91555133018596,20.96228213507625,184.5190811962497,0.3333275766203923,0.7343464661267848,306.0,-2.0,-1.0,0.6721345671594179,0.6721345671594179,0.1636982570806076,0.19804974734125835,0.0011324792767971048,0.00010327459160797137,1.0,-5.190000000002328,1.0804973932194741,1.0804973932194741,0.2166394335511974,0.18842393722769657,0.0028915071513731516,5.439527673656297e-05,-1.0,-8.730000000003201,1.788994067366417,1.788994067366417,0.2985021786492368,0.9482509572665663,0.004657131255065061,8.958032707762076e-05,0,0
25,453.0,524.0,39109.0,142.75053573351033,142.75053573351033,21.138316993464052,185.07639855571347,0.3351219130458371,0.734488992519628,306.0,5.0,9.0,-0.16501559667563015,-0.16501559667563015,0.1760348583878013,0.5573173594637808,0.001794336425444798,0.00014252639284317858,3.0,8.0,0.5071189704837877,0.5071189704837877,0.3397331154684089,0.7553671068050392,0.002926815702241903,0.00024580098445114995,4.0,2.0,1.2051474079248976,1.2051474079248976,0.48213507625272456,1.8150339400872042,0.004909384676921369,0.00022983200409831817,0,0
26,452.0,519.0,39194.0,143.67552154373678,143.67552154373678,21.148747276688454,184.5175048400699,0.3356176769290143,0.7344085523505616,306.0,-1.0,-5.0,0.9249858102264454,0.9249858102264454,0.010430283224401649,-0.5588937156435634,0.0004957638831771805,-8.044016906638696e-05,4.0,4.0,0.7599702135508153,0.7599702135508153,0.18646514161220296,-0.0015763561797825787,0.0022901003086219784,6.208622377679163e-05,5.0,-1.1900000000023283,1.8404676067702894,1.8404676067702894,0.40310457516340037,0.186847581047914,0.00518160745999513,0.0001164815005133546,0,0
27,448.0,513.0,39311.0,142.9047141772939,142.9047141772939,21.20819716775599,184.38683779348833,0.333784559809225,0.7343689565565071,306.0,-4.0,-6.0,-0.770807366442881,-0.770807366442881,0.05944989106753695,-0.13066704658157846,-0.0018331171197892848,-3.9595794054436695e-05,-5.0,-11.0,0.1541784437835645,0.1541784437835645,0.0698801742919386,-0.6895607622251418,-0.0013373532366121044,-0.00012003596312082365,-2.0,-3.0,0.6612974142673522,0.6612974142673522,0.4096132897603475,0.06580634457989731,0.0015894624656297984,0.0001257650213303263,0,0
28,451.0,520.0,39191.0,143.4186048403954,143.4186048403954,21.502913943355118,184.75229300943766,0.33509492346994546,0.734382905601676,306.0,3.0,7.0,0.5138906631015061,0.5138906631015061,0.29471677559912735,0.36545521594933916,0.0013103636607204594,1.3949045168826224e-05,-1.0,1.0,-0.25691670334137484,-0.25691670334137484,0.3541666666666643,0.2347881693677607,-0.0005227534590688254,-2.564674888561047e-05,3.0,5.0,0.5030535102094404,0.5030535102094404,0.5406318082788673,0.23321181318797812,0.001767346849553153,3.6439474891181156e-05,0,0
29,456.0,521.0,40850.0,144.67805709875617,144.67805709875617,22.17807734204793,184.21400375983725,0.3397831680939506,0.7343758656308542,306.0,5.0,1.0,1.259452258360767,1.259452258360767,0.6751633986928134,-0.5382892496004104,0.004688244624005133,-7.0399708217427914e-06,8.0,8.0,1.7733429214622731,1.7733429214622731,0.9698801742919407,-0.1728340336510712,0.005998608284725593,6.909074347083433e-06,3.0,-3.0,1.9275213652458376,1.9275213652458376,1.0397603485838793,-0.862394795876213,0.0046612550481134885,-0.00011312688877374022,0,0
30,461.0,525.0,40301.0,147.33282525721103,147.33282525721103,22.628050108932463,187.12120550047578,0.34792414142861744,0.7344474545027907,306.0,5.0,4.0,2.654768158454857,2.654768158454857,0.4499727668845317,2.907201740638527,0.008140973334666846,7.158887193647878e-05,10.0,5.0,3.914220416815624,3.914220416815624,1.125136165577345,2.3689124910381167,0.012829217958671979,6.454890111473599e-05,9.0,6.0,3.657303713474249,3.657303713474249,1.4793028322440094,2.6037006604058774,0.012306464499603154,3.890215222912552e-05,0,0
31,459.0,533.0,39798.0,146.6564429218948,146.6564429218948,22.218082788671023,186.19582673478385,0.3475461017831036,0.7344439738293979,306.0,-2.0,8.0,-0.6763823353162195,-0.6763823353162195,-0.40996732026144045,-0.9253787656919314,-0.00037803964551386127,-3.480673392841638e-06,3.0,12.0,1.9783858231386375,1.9783858231386375,0.040005446623091245,1.9818229749465957,0.007762933689152984,6.810819854363714e-05,11.0,20.0,3.7517287446009107,3.7517287446009107,1.009885620915032,1.8089889412955245,0.013761541973878577,7.501727289072058e-05,0,0
32,456.0,521.0,39768.0,146.2601686900403,146.2601686900403,22.13248910675381,186.55048526619274,0.3449529973349419,0.7343513316087762,306.0,-3.0,-12.0,-0.3962742318545054,-0.3962742318545054,-0.08559368191721362,0.35465853140888726,-0.002593104448161687,-9.264222062166372e-05,-5.0,-4.0,-1.0726565671707249,-1.0726565671707249,-0.49556100217865406,-0.5707202342830442,-0.0029711440936755484,-9.612289401450536e-05,5.0,1.0,2.841563849644899,2.841563849644899,0.629575163398691,1.7981922567550725,0.00985807386499643,-3.1573992899769365e-05,0,0
33,456.0,522.0,39234.0,147.0231668535636,147.0231668535636,22.09109477124183,186.4700532117912,0.34337898648859133,0.7343473083426678,306.0,0.0,1.0,0.7629981635232923,0.7629981635232923,-0.04139433551197769,-0.08043205440154111,-0.0015740108463505598,-4.0232661083772214e-06,-3.0,-11.0,0.3667239316687869,0.3667239316687869,-0.1269880174291913,0.27422647700734615,-0.004167115294512247,-9.666548673004094e-05,0.0,1.0,2.3451097548074245,2.3451097548074245,-0.08698257080610006,2.256049451953942,0.0035958183946407374,-2.8557288186403795e-05,0,0
34,456.0,522.0,39070.0,146.52267343851958,146.52267343851958,22.102069716775596,186.52958805226066,0.34537213676704054,0.734462630807666,306.0,0.0,0.0,-0.5004934150440192,-0.5004934150440192,0.010974945533764213,0.059534840469467554,0.0019931502784492072,0.0001153224649982354,0.0,1.0,0.2625047484792731,0.2625047484792731,-0.030419389978213474,-0.020897213932073555,0.00041913943209864746,0.00011129919888985818,-5.0,-3.0,-0.8101518186914518,-0.8101518186914518,-0.5259803921568675,-0.5916174482151177,-0.002552004661576901,1.517630487535282e-05,0,0
35,451.29999999999563,514.0,39415.0,146.79703354163732,146.79703354163732,22.068246187363833,187.17167508875784,0.34949107435307114,0.734350450146836,306.0,-4.700000000004366,-8.0,0.2743601031177434,0.2743601031177434,-0.033823529411762365,0.6420870364971734,0.004118937586030602,-0.00011218066083007461,-4.700000000004366,-8.0,-0.22613331192627584,-0.22613331192627584,-0.022848583877998152,0.7016218769666409,0.006112087864479809,3.141804168160789e-06,-7.700000000004366,-19.0,0.14059061974251108,0.14059061974251108,-0.14983660130718945,0.9758483539739871,0.0019449725699675624,-9.352368256188015e-05,0,0
36,455.0,524.0,40152.0,146.99633162116285,146.99633162116285,22.054629629629627,187.62312825117013,0.34986678336483656,0.734382888630548,306.0,3.7000000000043656,10.0,0.19929807952553347,0.19929807952553347,-0.013616557734206225,0.4514531624122924,0.0003757090117654238,3.243848371203839e-05,-1.0,2.0,0.47365818264327686,0.47365818264327686,-0.04744008714596859,1.0935401989094657,0.004494646597796026,-7.974217711803622e-05,-1.0,3.0,0.7361629311225499,0.7361629311225499,-0.07785947712418206,1.0726429849773922,0.004913786029894673,3.155702177182196e-05,0,0
37,455.0,519.0,39767.0,147.53800064116453,147.53800064116453,22.09722222222222,187.62899328314276,0.34929321115388284,0.7344213116806722,306.0,0.0,-5.0,0.5416690200016774,0.5416690200016774,0.042592592592594514,0.005865031972632551,-0.0005735722109537211,3.8423050124136715e-05,3.7000000000043656,5.0,0.7409670995272108,0.7409670995272108,0.02897603485838829,0.45731819438492494,-0.0001978631991882973,7.08615338361751e-05,-1.0,-3.0,0.514833787600935,0.514833787600935,0.006127450980390137,1.1589400713515658,0.005914224665291512,7.40033380043359e-05,0,0
38,454.0,522.0,38580.0,147.33526807727222,147.33526807727222,22.115114379084964,187.29358579797267,0.3510604697012458,0.7343471764927556,306.0,-1.0,3.0,-0.20273256389231165,-0.20273256389231165,0.017892156862743036,-0.33540748517009433,0.001767258547362982,-7.413518791654639e-05,-1.0,-2.0,0.33893645610936574,0.33893645610936574,0.06048474945533755,-0.3295424531974618,0.001193686336409261,-3.571213779240967e-05,-2.0,0.0,0.8125946387526426,0.8125946387526426,0.01304466230936896,0.763997745712004,0.005688332934205287,-0.00011545431491044589,0,0
39,455.0,523.0,38923.0,147.44983532361292,147.44983532361292,22.246405228758167,187.2366932511324,0.34810530235507325,0.7344067141917355,306.0,1.0,1.0,0.11456724634069815,0.11456724634069815,0.13129084967320281,-0.05689254684025968,-0.0029551673461725714,5.953769897992789e-05,0.0,4.0,-0.0881653175516135,-0.0881653175516135,0.14918300653594585,-0.392300032010354,-0.0011879087988095893,-1.4597488936618497e-05,3.7000000000043656,9.0,0.6528017819755974,0.6528017819755974,0.17815904139433414,0.06501816237457092,-0.0013857719979978866,5.626404489955661e-05,0,0
40,457.0,524.2900000000009,38972.0,148.0071400251329,148.0071400251329,22.255718954248366,188.1653226498447,0.35103245555581175,0.7343662933798025,306.0,2.0,1.2900000000008731,0.5573047015199961,0.5573047015199961,0.009313725490198266,0.9286293987123031,0.002927153200738497,-4.0420811933006284e-05,3.0,2.290000000000873,0.6718719478606943,0.6718719478606943,0.14060457516340108,0.8717368518720434,-2.8014145434074322e-05,1.9116887046921605e-05,2.0,0.2900000000008731,1.01080840397006,1.01080840397006,0.20108932461873863,0.5421943986745816,0.0011656721909751866,-1.6595250745488066e-05,0,0
41,459.0,527.0,38747.0,147.24753824578897,147.24753824578897,22.204193899782133,188.03335736401067,0.3468899810418607,0.7342994424857592,306.0,2.0,2.709999999999127,-0.7596017793439387,-0.7596017793439387,-0.051525054466232234,-0.13196528583404188,-0.0041424745139510555,-6.685089404334654e-05,4.0,4.0,-0.20229707782394257,-0.20229707782394257,-0.04221132897603397,0.7966641128782612,-0.0012153213132125584,-0.00010727170597635283,4.0,8.0,-0.29046239537555607,-0.29046239537555607,0.10697167755991188,0.4043640808679072,-0.0024032301120221478,-0.00012186919491297132,0,0
